"2019/02/15 Statistics of Order Book & Trade per 5 Seconds"
"Time","Acc. Bid Orders","Acc. Bid Volume","Acc. Ask Orders","Acc. Ask Volume","Acc. Transaction","Acc. Trade Volume","Acc. Trade Value (NT$M)",
="09:44:50","1,615,374","20,421,001","1,756,219","9,075,580","308,516","1,728,943","33,019",
="09:44:55","1,616,838","20,429,616","1,758,321","9,097,526","308,836","1,730,096","33,052",
="09:45:00","1,617,939","20,430,729","1,759,975","9,098,590","309,180","1,731,500","33,092",
="09:45:05","1,620,197","20,422,388","1,762,941","9,086,564","309,616","1,734,120","33,157",
="09:45:10","1,622,682","20,416,804","1,766,028","9,101,454","309,987","1,736,397","33,200",
="09:45:15","1,624,833","20,401,315","1,768,649","9,085,637","310,315","1,737,517","33,243",
="09:45:20","1,626,676","20,425,066","1,770,973","9,109,113","310,688","1,739,355","33,290",
="09:45:25","1,628,619","20,404,447","1,773,272","9,096,940","311,040","1,740,557","33,331",
="09:45:30","1,630,235","20,421,977","1,775,564","9,101,829","311,400","1,741,814","33,361",
="09:45:35","1,631,736","20,404,290","1,777,530","9,113,188","311,722","1,743,301","33,395",
="09:45:40","1,633,407","20,399,841","1,779,758","9,101,996","312,102","1,744,917","33,440",
="09:45:45","1,634,361","20,444,588","1,781,312","9,120,625","312,417","1,746,528","33,479",
="09:45:50","1,635,454","20,445,824","1,782,913","9,115,837","312,725","1,747,324","33,507",
="09:45:55","1,636,752","20,431,365","1,784,554","9,111,820","313,108","1,748,345","33,566",
="09:46:00","1,637,929","20,434,186","1,786,415","9,129,195","313,497","1,749,935","33,631",
="09:46:05","1,639,742","20,449,843","1,788,949","9,121,136","313,906","1,751,445","33,677",
="09:46:10","1,641,218","20,443,532","1,790,989","9,115,024","314,326","1,752,871","33,724",
="09:46:15","1,644,232","20,411,727","1,794,171","9,111,274","314,735","1,754,724","33,767",
="09:46:20","1,646,459","20,452,020","1,796,659","9,129,287","315,106","1,756,738","33,843",
="09:46:25","1,648,210","20,455,588","1,798,945","9,122,719","315,432","1,758,753","33,897",
="09:46:30","1,649,790","20,471,524","1,800,956","9,119,037","315,734","1,759,962","33,933",
="09:46:35","1,650,986","20,473,771","1,802,733","9,108,397","315,995","1,760,822","33,962",
="09:46:40","1,652,822","20,464,885","1,804,880","9,108,295","316,351","1,762,786","34,017",
="09:46:45","1,654,336","20,465,185","1,806,880","9,101,054","316,750","1,764,081","34,061",
="09:46:50","1,656,228","20,453,170","1,809,540","9,120,482","317,054","1,765,651","34,091",
="09:46:55","1,657,777","20,475,431","1,811,759","9,128,701","317,359","1,767,243","34,119",
="09:47:00","1,659,150","20,469,798","1,813,840","9,126,205","317,623","1,768,067","34,137",
="09:47:05","1,660,866","20,457,964","1,816,113","9,140,092","318,081","1,769,202","34,188",
="09:47:10","1,663,247","20,462,048","1,818,840","9,131,891","318,504","1,771,123","34,220",
="09:47:15","1,666,414","20,449,542","1,821,974","9,117,240","318,875","1,773,228","34,263",
="09:47:20","1,668,919","20,470,815","1,824,632","9,116,638","319,145","1,774,266","34,287",
="09:47:25","1,671,141","20,465,198","1,827,148","9,114,897","319,573","1,776,247","34,334",
="09:47:30","1,673,516","20,462,460","1,829,978","9,099,238","319,971","1,778,363","34,381",
="09:47:35","1,674,975","20,499,960","1,832,229","9,112,278","320,329","1,779,609","34,414",
="09:47:40","1,678,183","20,478,127","1,835,712","9,086,300","320,708","1,781,678","34,459",
="09:47:45","1,681,042","20,491,523","1,838,881","9,101,961","321,098","1,784,561","34,489",
="09:47:50","1,683,820","20,508,759","1,841,967","9,114,339","321,407","1,786,693","34,525",
="09:47:55","1,686,185","20,515,028","1,844,747","9,122,388","321,706","1,787,894","34,553",
="09:48:00","1,687,610","20,540,524","1,846,562","9,136,531","322,064","1,789,510","34,586",
="09:48:05","1,689,342","20,532,836","1,848,651","9,127,366","322,443","1,790,992","34,630",
="09:48:10","1,691,844","20,524,895","1,851,300","9,115,443","322,847","1,793,919","34,673",
="09:48:15","1,693,557","20,534,034","1,853,364","9,123,574","323,154","1,794,920","34,713",
="09:48:20","1,695,477","20,526,645","1,855,759","9,131,509","323,574","1,796,709","34,772",
="09:48:25","1,697,663","20,497,415","1,858,367","9,127,144","323,984","1,799,019","34,824",
="09:48:30","1,699,793","20,510,285","1,860,730","9,123,014","324,365","1,800,812","34,872",
="09:48:35","1,702,282","20,528,315","1,863,639","9,134,783","324,726","1,802,115","34,920",
="09:48:40","1,704,058","20,526,211","1,865,869","9,138,112","325,114","1,803,168","34,956",
="09:48:45","1,705,434","20,515,545","1,867,748","9,125,614","325,442","1,804,157","34,993",
="09:48:50","1,707,596","20,507,690","1,870,420","9,121,687","325,750","1,805,091","35,034",
="09:48:55","1,708,746","20,563,903","1,871,828","9,135,687","326,039","1,805,895","35,063",
="09:49:00","1,710,463","20,541,504","1,873,741","9,133,143","326,357","1,806,970","35,094",
="09:49:05","1,712,243","20,543,557","1,876,036","9,142,275","326,740","1,808,824","35,133",
="09:49:10","1,713,947","20,531,478","1,878,159","9,128,819","327,081","1,810,843","35,173",
="09:49:15","1,716,305","20,549,923","1,880,845","9,153,412","327,407","1,812,429","35,214",
="09:49:20","1,718,042","20,539,878","1,883,028","9,145,327","327,724","1,813,482","35,242",
="09:49:25","1,720,095","20,553,255","1,885,453","9,132,414","328,076","1,815,466","35,283",
="09:49:30","1,721,671","20,525,484","1,887,621","9,122,981","328,393","1,816,485","35,313",
="09:49:35","1,723,335","20,547,761","1,889,634","9,143,964","328,618","1,817,356","35,337",
="09:49:40","1,724,928","20,561,012","1,891,571","9,150,310","328,870","1,818,074","35,357",
="09:49:45","1,726,675","20,563,816","1,893,777","9,161,913","329,189","1,821,364","35,393",
="09:49:50","1,728,324","20,549,229","1,895,718","9,162,511","329,554","1,822,601","35,428",
="09:49:55","1,729,824","20,569,769","1,897,399","9,159,546","329,876","1,823,513","35,460",
="09:50:00","1,731,440","20,564,473","1,899,438","9,152,342","330,275","1,824,700","35,498",
="09:50:05","1,734,027","20,571,424","1,902,405","9,175,891","330,668","1,826,590","35,539",
="09:50:10","1,736,275","20,568,299","1,905,067","9,171,568","330,973","1,827,556","35,573",
="09:50:15","1,737,852","20,586,305","1,907,100","9,168,746","331,259","1,828,646","35,605",
="09:50:20","1,739,606","20,582,647","1,909,163","9,162,928","331,579","1,829,562","35,634",
="09:50:25","1,741,362","20,588,672","1,911,221","9,170,553","331,952","1,831,640","35,675",
="09:50:30","1,743,171","20,566,207","1,913,247","9,168,036","332,296","1,832,652","35,707",
="09:50:35","1,745,171","20,573,998","1,915,826","9,164,955","332,667","1,833,546","35,745",
="09:50:40","1,747,630","20,571,525","1,918,493","9,177,966","333,048","1,836,731","35,796",
="09:50:45","1,749,527","20,583,614","1,921,001","9,174,226","333,389","1,837,724","35,840",
="09:50:50","1,750,910","20,578,773","1,922,910","9,188,494","333,741","1,838,686","35,894",
="09:50:55","1,752,601","20,583,992","1,925,134","9,192,886","334,012","1,840,266","35,923",
="09:51:00","1,754,531","20,560,925","1,927,371","9,175,001","334,341","1,840,988","35,954",
="09:51:05","1,756,839","20,595,506","1,929,954","9,171,875","334,718","1,842,312","35,995",
="09:51:10","1,758,661","20,602,482","1,932,187","9,192,895","334,982","1,843,009","36,031",
="09:51:15","1,761,334","20,598,222","1,935,014","9,181,240","335,275","1,843,924","36,065",
="09:51:20","1,763,381","20,608,587","1,937,316","9,180,935","335,547","1,844,714","36,095",
="09:51:25","1,764,838","20,626,723","1,939,085","9,200,065","335,835","1,846,039","36,127",
="09:51:30","1,766,931","20,623,360","1,941,489","9,199,462","336,143","1,847,452","36,158",
="09:51:35","1,768,447","20,642,876","1,943,519","9,202,646","336,467","1,848,780","36,191",
="09:51:40","1,770,410","20,626,989","1,945,752","9,190,661","336,711","1,849,877","36,217",
="09:51:45","1,772,098","20,634,465","1,947,904","9,191,294","336,995","1,850,480","36,242",
="09:51:50","1,773,860","20,631,152","1,950,021","9,215,150","337,262","1,851,230","36,270",
="09:51:55","1,775,470","20,623,948","1,952,195","9,211,044","337,556","1,852,322","36,297",
="09:52:00","1,777,432","20,605,347","1,954,588","9,202,895","337,855","1,853,235","36,327",
="09:52:05","1,779,878","20,614,593","1,957,317","9,223,562","338,312","1,854,868","36,369",
="09:52:10","1,781,388","20,637,412","1,959,538","9,228,439","338,631","1,855,756","36,401",
="09:52:15","1,782,892","20,632,114","1,961,589","9,227,565","338,926","1,857,161","36,428",
="09:52:20","1,784,462","20,631,801","1,963,405","9,234,850","339,380","1,859,285","36,470",
="09:52:25","1,787,603","20,641,004","1,966,559","9,244,022","339,776","1,862,272","36,508",
="09:52:30","1,788,866","20,651,274","1,968,306","9,251,118","340,053","1,863,148","36,530",
="09:52:35","1,790,582","20,641,828","1,970,424","9,236,602","340,418","1,865,352","36,568",
="09:52:40","1,792,353","20,628,326","1,972,426","9,239,104","340,798","1,866,855","36,609",
="09:52:45","1,794,295","20,616,782","1,974,693","9,247,934","341,158","1,869,331","36,653",
="09:52:50","1,796,138","20,630,159","1,976,854","9,242,159","341,461","1,870,303","36,680",
="09:52:55","1,797,860","20,640,534","1,978,935","9,238,108","341,766","1,871,201","36,711",
="09:53:00","1,798,835","20,649,182","1,980,505","9,265,995","342,061","1,872,065","36,739",
="09:53:05","1,800,857","20,618,673","1,982,721","9,256,034","342,385","1,873,697","36,771",
="09:53:10","1,802,535","20,631,536","1,984,688","9,251,274","342,730","1,875,918","36,802",
="09:53:15","1,804,588","20,535,990","1,987,009","9,222,280","343,175","1,879,673","36,843",
="09:53:20","1,805,798","20,591,967","1,988,667","9,254,470","343,712","1,882,074","36,885",
="09:53:25","1,807,357","20,541,118","1,990,572","9,237,440","344,117","1,883,937","36,924",
="09:53:30","1,808,571","20,546,046","1,992,212","9,244,936","344,483","1,885,272","36,951",
="09:53:35","1,809,671","20,549,155","1,993,720","9,251,943","344,828","1,886,174","36,981",
="09:53:40","1,810,789","20,548,267","1,995,156","9,238,095","345,169","1,887,191","37,014",
="09:53:45","1,811,946","20,617,650","1,996,680","9,256,228","345,483","1,888,367","37,047",
="09:53:50","1,813,926","20,523,448","1,999,114","9,202,766","345,857","1,889,636","37,084",
="09:53:55","1,815,860","20,643,353","2,001,339","9,275,299","346,197","1,890,691","37,107",
="09:54:00","1,817,490","20,639,479","2,003,352","9,261,748","346,549","1,892,489","37,144",
="09:54:05","1,819,071","20,663,538","2,005,297","9,268,614","346,931","1,893,630","37,181",
="09:54:10","1,820,683","20,654,762","2,007,397","9,261,500","347,263","1,894,731","37,214",
="09:54:15","1,821,960","20,658,326","2,009,042","9,255,361","347,594","1,896,101","37,252",
="09:54:20","1,823,440","20,651,911","2,010,924","9,265,323","347,946","1,897,641","37,287",
="09:54:25","1,825,577","20,651,374","2,013,320","9,261,813","348,415","1,901,763","37,364",
="09:54:30","1,827,304","20,662,908","2,015,474","9,270,554","348,812","1,903,534","37,426",
="09:54:35","1,828,575","20,667,287","2,017,161","9,285,434","349,358","1,905,326","37,506",
="09:54:40","1,830,189","20,603,496","2,018,935","9,231,530","349,952","1,908,421","37,582",
="09:54:45","1,832,739","20,636,626","2,021,809","9,239,093","350,709","1,911,554","37,715",
="09:54:50","1,834,757","20,576,453","2,024,020","9,237,611","351,370","1,913,127","37,807",
="09:54:55","1,836,840","20,600,379","2,026,366","9,236,714","351,688","1,914,154","37,844",
="09:55:00","1,838,304","20,609,750","2,028,155","9,247,552","352,002","1,915,181","37,881",
="09:55:05","1,840,104","20,613,740","2,030,550","9,253,736","352,354","1,916,464","37,921",
="09:55:10","1,841,785","20,618,002","2,032,692","9,257,562","352,685","1,918,115","37,955",
="09:55:15","1,843,044","20,636,087","2,034,371","9,256,905","353,011","1,919,208","37,985",
="09:55:20","1,844,525","20,645,374","2,036,308","9,253,423","353,313","1,920,943","38,030",
="09:55:25","1,846,126","20,647,988","2,038,385","9,254,408","353,559","1,921,627","38,058",
="09:55:30","1,847,393","20,640,095","2,040,190","9,264,203","353,916","1,922,514","38,084",
="09:55:35","1,848,676","20,639,655","2,041,965","9,265,420","354,237","1,923,519","38,119",
="09:55:40","1,850,015","20,626,715","2,043,781","9,246,130","354,525","1,924,774","38,148",
="09:55:45","1,851,413","20,658,197","2,045,649","9,256,776","354,784","1,925,716","38,169",
="09:55:50","1,852,669","20,647,424","2,047,365","9,276,583","355,045","1,926,545","38,191",
="09:55:55","1,853,628","20,650,942","2,048,679","9,267,891","355,323","1,927,535","38,221",
="09:56:00","1,854,855","20,650,607","2,050,326","9,279,827","355,591","1,928,242","38,245",
="09:56:05","1,856,628","20,643,197","2,052,390","9,280,428","355,990","1,929,947","38,306",
="09:56:10","1,858,700","20,636,000","2,055,008","9,276,172","356,272","1,931,171","38,337",
="09:56:15","1,860,633","20,649,334","2,057,479","9,281,005","356,550","1,932,078","38,359",
="09:56:20","1,862,255","20,641,793","2,059,674","9,277,705","356,833","1,933,721","38,389",
="09:56:25","1,863,540","20,656,770","2,061,453","9,282,150","357,073","1,934,411","38,409",
="09:56:30","1,865,326","20,654,381","2,063,685","9,283,784","357,318","1,935,402","38,444",
="09:56:35","1,866,883","20,653,456","2,065,635","9,292,194","357,566","1,936,087","38,465",
="09:56:40","1,868,307","20,659,769","2,067,534","9,293,196","357,850","1,937,140","38,493",
="09:56:45","1,870,013","20,659,470","2,069,424","9,274,440","358,117","1,938,226","38,521",
="09:56:50","1,871,624","20,663,252","2,071,534","9,302,773","358,436","1,940,020","38,573",
="09:56:55","1,873,069","20,665,079","2,073,689","9,304,936","358,744","1,941,163","38,607",
="09:57:00","1,874,206","20,648,231","2,075,379","9,299,149","359,158","1,944,109","38,746",
="09:57:05","1,876,180","20,639,782","2,077,886","9,321,490","359,597","1,945,518","38,796",
="09:57:10","1,877,590","20,658,241","2,079,924","9,332,276","359,877","1,946,324","38,833",
="09:57:15","1,879,072","20,665,702","2,081,947","9,334,850","360,181","1,948,494","38,873",
="09:57:20","1,880,543","20,656,507","2,083,963","9,333,162","360,399","1,949,093","38,901",
="09:57:25","1,881,557","20,667,534","2,085,422","9,330,900","360,653","1,949,624","38,924",
="09:57:30","1,883,240","20,653,028","2,087,518","9,319,369","361,066","1,951,868","38,971",
="09:57:35","1,885,091","20,691,728","2,089,638","9,336,939","361,452","1,954,044","39,011",
="09:57:40","1,886,485","20,682,235","2,091,532","9,325,799","361,842","1,956,549","39,060",
="09:57:45","1,887,599","20,685,452","2,093,145","9,338,483","362,103","1,957,359","39,086",
="09:57:50","1,889,379","20,683,085","2,095,416","9,335,126","362,441","1,958,405","39,114",
="09:57:55","1,890,669","20,689,543","2,097,294","9,340,223","362,682","1,959,072","39,135",
="09:58:00","1,892,667","20,679,720","2,099,877","9,341,280","363,026","1,960,243","39,179",
="09:58:05","1,894,609","20,698,643","2,102,321","9,345,607","363,375","1,961,583","39,220",
="09:58:10","1,895,724","20,717,494","2,104,014","9,359,794","363,715","1,963,138","39,248",
="09:58:15","1,896,907","20,724,025","2,105,802","9,362,852","364,036","1,965,070","39,283",
="09:58:20","1,897,935","20,722,685","2,107,203","9,355,988","364,342","1,966,330","39,315",
="09:58:25","1,898,826","20,720,272","2,108,556","9,361,040","364,648","1,967,415","39,342",
="09:58:30","1,899,894","20,718,925","2,110,040","9,362,476","364,976","1,968,395","39,383",
="09:58:35","1,900,738","20,704,160","2,111,364","9,350,959","365,274","1,969,709","39,419",
="09:58:40","1,901,945","20,708,737","2,112,987","9,347,329","365,574","1,970,936","39,451",
="09:58:45","1,903,928","20,695,354","2,115,286","9,362,838","365,839","1,971,733","39,478",
="09:58:50","1,905,911","20,677,083","2,117,540","9,350,323","366,150","1,973,066","39,515",
="09:58:55","1,907,505","20,691,050","2,119,494","9,356,041","366,428","1,973,830","39,546",
="09:59:00","1,909,377","20,695,249","2,121,832","9,346,493","366,751","1,975,200","39,577",
="09:59:05","1,911,117","20,699,411","2,123,904","9,345,556","367,047","1,975,956","39,608",
="09:59:10","1,912,286","20,701,670","2,125,617","9,355,758","367,296","1,976,471","39,632",
="09:59:15","1,913,563","20,708,693","2,127,230","9,361,340","367,554","1,977,306","39,651",
="09:59:20","1,915,191","20,685,714","2,129,261","9,360,792","367,841","1,978,054","39,676",
="09:59:25","1,916,874","20,710,029","2,131,224","9,362,746","368,104","1,978,886","39,698",
="09:59:30","1,917,992","20,708,659","2,132,713","9,366,334","368,385","1,979,702","39,720",
="09:59:35","1,919,467","20,716,778","2,134,715","9,362,219","368,639","1,980,801","39,744",
="09:59:40","1,920,796","20,728,912","2,136,523","9,367,132","368,877","1,981,427","39,766",
="09:59:45","1,922,059","20,747,803","2,138,525","9,377,613","369,131","1,982,443","39,789",
="09:59:50","1,923,586","20,740,266","2,140,485","9,390,454","369,483","1,983,667","39,821",
="09:59:55","1,925,104","20,759,378","2,142,341","9,386,705","369,785","1,984,677","39,843",
"10:00:00","1,926,555","20,760,552","2,144,047","9,396,289","370,078","1,985,904","39,869",
"10:00:05","1,928,942","20,745,955","2,146,790","9,401,930","370,369","1,987,018","39,902",
"10:00:10","1,930,970","20,724,997","2,149,270","9,386,809","370,716","1,988,497","39,947",
"10:00:15","1,933,367","20,758,039","2,152,047","9,394,189","371,074","1,990,095","39,984",
"10:00:20","1,934,952","20,745,149","2,154,121","9,399,539","371,309","1,990,975","40,017",
"10:00:25","1,936,686","20,728,046","2,156,301","9,404,793","371,635","1,992,271","40,048",
"10:00:30","1,938,756","20,741,549","2,158,843","9,384,648","371,905","1,993,282","40,083",
"10:00:35","1,940,478","20,738,267","2,161,092","9,403,111","372,225","1,995,261","40,114",
"10:00:40","1,942,115","20,733,652","2,163,090","9,403,573","372,584","1,996,774","40,157",
"10:00:45","1,945,300","20,719,706","2,166,699","9,389,521","372,986","1,999,841","40,221",
"10:00:50","1,948,729","20,718,065","2,170,705","9,403,462","373,824","2,004,853","40,311",
"10:00:55","1,951,295","20,707,024","2,173,749","9,396,917","374,141","2,006,097","40,363",
"10:01:00","1,953,358","20,721,570","2,176,376","9,412,962","374,475","2,007,950","40,429",
"10:01:05","1,955,948","20,735,482","2,179,122","9,426,208","374,853","2,010,692","40,474",
"10:01:10","1,958,429","20,720,078","2,181,930","9,416,790","375,200","2,012,014","40,509",
"10:01:15","1,959,977","20,704,608","2,183,875","9,405,545","375,476","2,012,901","40,538",
"10:01:20","1,962,461","20,684,443","2,186,672","9,414,885","376,133","2,017,284","40,623",
"10:01:25","1,965,047","20,597,696","2,189,893","9,407,938","376,535","2,019,457","40,667",
"10:01:30","1,966,412","20,619,750","2,191,831","9,411,862","376,880","2,020,794","40,700",
"10:01:35","1,968,363","20,623,893","2,194,056","9,412,498","377,222","2,021,899","40,731",
"10:01:40","1,969,478","20,658,365","2,195,720","9,435,212","377,543","2,023,199","40,763",
"10:01:45","1,971,719","20,632,786","2,198,310","9,410,647","377,901","2,024,984","40,801",
"10:01:50","1,973,591","20,637,735","2,200,623","9,435,730","378,155","2,025,918","40,823",
"10:01:55","1,976,170","20,725,785","2,203,305","9,455,560","378,530","2,027,370","40,859",
"10:02:00","1,978,073","20,720,658","2,205,732","9,450,120","378,838","2,028,261","40,893",
"10:02:05","1,980,298","20,725,233","2,208,150","9,407,358","379,156","2,029,292","40,927",
"10:02:10","1,982,567","20,743,747","2,210,637","9,428,249","379,597","2,031,347","40,982",
"10:02:15","1,984,323","20,727,042","2,213,105","9,435,532","379,967","2,032,780","41,020",
"10:02:20","1,986,323","20,731,596","2,215,679","9,428,089","380,321","2,034,538","41,058",
"10:02:25","1,987,466","20,736,241","2,217,381","9,426,521","380,613","2,035,736","41,088",
"10:02:30","1,988,867","20,735,421","2,219,339","9,448,583","380,907","2,036,571","41,119",
"10:02:35","1,990,592","20,724,512","2,221,456","9,444,096","381,177","2,037,247","41,141",
"10:02:40","1,992,094","20,730,215","2,223,282","9,438,389","381,486","2,038,650","41,169",
"10:02:45","1,993,666","20,722,381","2,225,170","9,436,996","381,871","2,040,011","41,201",
"10:02:50","1,994,860","20,723,591","2,226,912","9,449,834","382,159","2,041,089","41,236",
"10:02:55","1,996,101","20,733,851","2,228,583","9,449,517","382,474","2,042,322","41,265",
"10:03:00","1,997,241","20,738,296","2,230,087","9,454,404","382,753","2,043,550","41,297",
"10:03:05","1,999,723","20,717,552","2,232,896","9,438,809","383,265","2,046,995","41,375",
"10:03:10","2,002,826","20,707,066","2,236,179","9,426,931","383,581","2,048,235","41,420",
"10:03:15","2,004,251","20,720,673","2,238,125","9,457,843","383,875","2,049,173","41,445",
"10:03:20","2,005,742","20,729,870","2,240,336","9,455,012","384,147","2,049,749","41,466",
"10:03:25","2,007,443","20,737,340","2,242,593","9,454,052","384,454","2,050,837","41,496",
"10:03:30","2,009,142","20,745,317","2,244,801","9,459,419","384,789","2,052,586","41,539",
"10:03:35","2,011,138","20,739,978","2,247,160","9,456,908","385,159","2,053,736","41,577",
"10:03:40","2,012,674","20,742,716","2,249,159","9,457,774","385,502","2,055,328","41,615",
"10:03:45","2,014,129","20,742,155","2,251,002","9,458,359","385,804","2,056,160","41,654",
"10:03:50","2,015,827","20,740,301","2,253,094","9,456,823","386,140","2,057,161","41,685",
"10:03:55","2,017,506","20,732,806","2,255,234","9,455,511","386,440","2,058,586","41,715",
"10:04:00","2,018,975","20,733,613","2,257,540","9,458,795","386,920","2,060,210","41,856",
"10:04:05","2,021,383","20,727,203","2,260,616","9,458,586","387,342","2,061,291","41,906",
"10:04:10","2,023,151","20,738,138","2,262,775","9,458,470","387,680","2,062,082","41,951",
"10:04:15","2,024,723","20,753,296","2,264,949","9,462,204","388,047","2,063,236","41,990",
"10:04:20","2,026,381","20,735,093","2,267,027","9,459,006","388,346","2,064,401","42,023",
"10:04:25","2,028,061","20,747,965","2,269,173","9,456,783","388,701","2,066,801","42,075",
"10:04:30","2,029,941","20,746,827","2,271,456","9,463,817","389,052","2,068,862","42,120",
"10:04:35","2,031,018","20,749,986","2,273,031","9,474,848","389,385","2,070,103","42,155",
"10:04:40","2,032,261","20,769,181","2,274,740","9,481,413","389,697","2,071,666","42,187",
"10:04:45","2,033,736","20,766,857","2,276,642","9,481,461","389,999","2,072,740","42,224",
"10:04:50","2,035,169","20,746,573","2,278,513","9,469,626","390,333","2,073,751","42,260",
"10:04:55","2,035,967","20,769,877","2,279,799","9,471,826","390,654","2,074,548","42,295",
"10:05:00","2,037,580","20,750,994","2,281,904","9,451,078","391,041","2,076,727","42,347",
"10:05:05","2,039,318","20,754,742","2,284,198","9,454,935","391,425","2,078,109","42,391",
"10:05:10","2,041,143","20,790,090","2,286,545","9,489,373","391,752","2,079,114","42,427",
"10:05:15","2,042,858","20,790,549","2,288,695","9,484,079","392,056","2,080,100","42,456",
"10:05:20","2,044,282","20,792,050","2,290,600","9,473,178","392,406","2,081,120","42,503",
"10:05:25","2,046,450","20,780,318","2,293,285","9,478,037","392,716","2,082,669","42,539",
"10:05:30","2,048,045","20,799,118","2,295,185","9,494,510","393,000","2,083,983","42,567",
"10:05:35","2,050,618","20,803,521","2,297,878","9,505,682","393,424","2,085,566","42,618",
"10:05:40","2,052,915","20,769,406","2,300,498","9,490,831","393,781","2,087,410","42,660",
"10:05:45","2,055,052","20,750,580","2,303,054","9,497,935","394,180","2,088,824","42,698",
"10:05:50","2,056,475","20,749,675","2,305,048","9,498,483","394,588","2,090,295","42,736",
"10:05:55","2,058,236","20,758,741","2,307,161","9,506,530","394,950","2,091,306","42,774",
"10:06:00","2,060,154","20,728,569","2,309,584","9,494,885","395,350","2,092,332","42,815",
"10:06:05","2,061,749","20,749,876","2,311,759","9,511,641","395,697","2,093,725","42,851",
"10:06:10","2,063,661","20,752,035","2,314,350","9,504,868","396,150","2,095,696","42,904",
"10:06:15","2,064,960","20,763,676","2,316,082","9,493,165","396,491","2,097,068","42,944",
"10:06:20","2,066,660","20,773,491","2,318,265","9,476,435","396,760","2,097,917","42,975",
"10:06:25","2,067,645","20,783,755","2,320,131","9,489,489","397,039","2,099,145","42,997",
"10:06:30","2,069,049","20,791,251","2,322,191","9,489,327","397,334","2,100,116","43,022",
"10:06:35","2,070,331","20,798,389","2,323,908","9,483,204","397,638","2,100,935","43,049",
"10:06:40","2,071,496","20,794,937","2,325,526","9,473,783","397,953","2,102,399","43,079",
"10:06:45","2,072,682","20,796,303","2,327,190","9,482,066","398,263","2,103,095","43,110",
"10:06:50","2,074,136","20,778,307","2,329,218","9,483,703","398,547","2,104,035","43,135",
"10:06:55","2,075,133","20,810,944","2,330,781","9,489,054","398,858","2,105,039","43,162",
"10:07:00","2,076,190","20,807,467","2,332,317","9,489,041","399,216","2,106,116","43,194",
"10:07:05","2,077,505","20,802,663","2,334,082","9,490,025","399,544","2,108,054","43,228",
"10:07:10","2,079,092","20,817,635","2,336,271","9,495,613","399,939","2,109,325","43,289",
"10:07:15","2,081,039","20,820,505","2,338,768","9,499,358","400,249","2,110,503","43,321",
"10:07:20","2,083,112","20,804,974","2,341,136","9,496,596","400,477","2,111,386","43,348",
"10:07:25","2,084,897","20,824,491","2,343,442","9,497,444","400,756","2,112,780","43,383",
"10:07:30","2,087,866","20,839,299","2,346,439","9,469,207","401,084","2,113,980","43,420",
"10:07:35","2,089,635","20,829,807","2,348,510","9,477,132","401,366","2,115,069","43,459",
"10:07:40","2,091,055","20,844,181","2,350,786","9,481,881","401,665","2,116,577","43,491",
"10:07:45","2,093,367","20,841,085","2,353,859","9,478,088","401,960","2,118,555","43,514",
"10:07:50","2,095,049","20,840,246","2,356,298","9,485,878","402,295","2,119,670","43,544",
"10:07:55","2,097,083","20,819,277","2,358,586","9,478,002","402,507","2,120,712","43,564",
"10:08:00","2,098,614","20,838,238","2,360,488","9,488,288","402,782","2,122,036","43,592",
"10:08:05","2,099,948","20,843,287","2,362,443","9,502,933","403,079","2,123,178","43,616",
"10:08:10","2,101,225","20,850,000","2,364,110","9,510,984","403,415","2,124,128","43,647",
"10:08:15","2,102,579","20,852,519","2,366,322","9,497,688","403,895","2,125,814","43,696",
"10:08:20","2,104,328","20,853,783","2,368,437","9,508,919","404,324","2,129,791","43,732",
"10:08:25","2,105,570","20,858,340","2,370,068","9,515,821","404,627","2,130,972","43,759",
"10:08:30","2,106,892","20,855,491","2,371,852","9,531,211","404,938","2,131,928","43,785",
"10:08:35","2,109,513","20,864,678","2,374,722","9,529,025","405,314","2,133,702","43,820",
"10:08:40","2,111,193","20,892,790","2,377,028","9,530,958","405,574","2,134,535","43,845",
"10:08:45","2,112,590","20,893,741","2,379,057","9,522,550","405,855","2,135,547","43,867",
"10:08:50","2,113,697","20,896,446","2,380,796","9,535,897","406,123","2,136,286","43,901",
"10:08:55","2,115,145","20,893,478","2,382,863","9,532,461","406,388","2,137,831","43,925",
"10:09:00","2,116,969","20,881,265","2,385,130","9,534,182","406,709","2,139,205","43,955",
"10:09:05","2,118,453","20,895,068","2,387,323","9,545,031","407,198","2,141,046","43,990",
"10:09:10","2,120,165","20,896,695","2,389,489","9,555,341","407,509","2,141,756","44,012",
"10:09:15","2,121,412","20,900,919","2,391,192","9,543,329","407,797","2,142,539","44,040",
"10:09:20","2,122,426","20,904,130","2,392,619","9,557,130","408,055","2,143,746","44,066",
"10:09:25","2,124,053","20,899,714","2,394,670","9,558,423","408,326","2,144,490","44,086",
"10:09:30","2,125,181","20,897,225","2,396,460","9,559,591","408,595","2,145,377","44,113",
"10:09:35","2,126,362","20,898,819","2,398,176","9,561,939","408,881","2,146,673","44,144",
"10:09:40","2,127,985","20,892,605","2,400,565","9,570,437","409,177","2,147,800","44,177",
"10:09:45","2,129,119","20,909,215","2,402,236","9,578,918","409,465","2,148,534","44,209",
"10:09:50","2,130,496","20,870,798","2,404,178","9,563,111","409,717","2,149,210","44,233",
