"2019/02/15 Statistics of Order Book & Trade per 5 Seconds"
"Time","Acc. Bid Orders","Acc. Bid Volume","Acc. Ask Orders","Acc. Ask Volume","Acc. Transaction","Acc. Trade Volume","Acc. Trade Value (NT$M)",
="09:06:25","457,322","12,778,387","426,850","5,650,514","81,912","394,871","9,375",
="09:06:30","461,331","12,854,852","431,245","5,665,395","82,711","402,085","9,447",
="09:06:35","465,113","12,925,346","435,022","5,682,141","83,512","407,008","9,520",
="09:06:40","468,402","12,977,582","438,707","5,682,303","84,336","413,645","9,601",
="09:06:45","472,025","13,069,802","442,950","5,699,333","85,184","418,763","9,669",
="09:06:50","475,254","13,155,913","446,436","5,714,489","85,883","421,706","9,734",
="09:06:55","478,349","13,200,362","450,063","5,722,883","86,535","425,816","9,802",
="09:07:00","481,263","13,280,875","453,376","5,755,443","87,186","429,011","9,861",
="09:07:05","484,783","13,331,506","457,085","5,766,523","88,104","435,850","9,941",
="09:07:10","487,624","13,387,313","460,431","5,773,693","88,929","440,136","10,028",
="09:07:15","491,134","13,440,348","464,302","5,778,907","89,666","443,824","10,089",
="09:07:20","494,382","13,519,391","467,781","5,804,973","90,292","447,151","10,146",
="09:07:25","497,879","13,591,681","471,583","5,813,077","91,003","450,496","10,218",
="09:07:30","500,876","13,654,429","475,053","5,838,897","91,626","453,982","10,276",
="09:07:35","503,793","13,754,182","478,405","5,853,609","92,390","458,604","10,363",
="09:07:40","507,545","13,771,138","482,194","5,850,178","93,149","464,220","10,431",
="09:07:45","511,009","13,860,091","485,962","5,879,172","93,810","469,207","10,486",
="09:07:50","514,563","13,925,858","489,679","5,893,012","94,445","472,800","10,545",
="09:07:55","517,824","14,025,908","493,250","5,915,338","95,201","477,632","10,615",
="09:08:00","520,256","14,067,452","496,235","5,915,469","95,763","479,608","10,662",
="09:08:05","523,399","14,238,939","499,558","5,986,204","96,406","482,778","10,723",
="09:08:10","527,560","14,296,395","503,680","5,998,959","97,200","488,734","10,812",
="09:08:15","530,985","14,321,139","507,164","6,002,049","97,971","494,320","10,886",
="09:08:20","533,716","14,341,492","509,955","6,003,138","98,673","498,519","10,962",
="09:08:25","536,301","14,381,713","512,863","6,029,951","99,421","502,325","11,043",
="09:08:30","540,297","14,407,102","517,113","6,028,477","100,196","511,179","11,194",
="09:08:35","543,369","14,417,456","520,140","6,040,939","100,952","515,271","11,276",
="09:08:40","546,761","14,467,562","523,830","6,065,533","101,784","520,403","11,402",
="09:08:45","550,148","14,505,433","527,466","6,084,606","102,503","523,305","11,479",
="09:08:50","553,503","14,507,862","531,184","6,083,752","103,394","530,320","11,575",
="09:08:55","556,986","14,494,876","534,975","6,086,506","104,195","537,307","11,699",
="09:09:00","560,737","14,441,342","539,198","6,038,043","105,028","544,292","11,820",
="09:09:05","564,309","14,431,827","543,278","6,037,136","105,764","549,720","11,918",
="09:09:10","567,320","14,475,623","546,693","6,051,024","106,547","557,360","12,014",
="09:09:15","571,492","14,459,076","551,152","6,051,011","107,460","563,848","12,118",
="09:09:20","574,613","14,465,997","554,803","6,059,586","108,171","568,182","12,197",
="09:09:25","577,639","14,576,728","558,214","6,118,205","108,806","572,954","12,269",
="09:09:30","580,046","14,585,008","561,003","6,128,636","109,513","576,481","12,373",
="09:09:35","583,554","14,595,104","564,921","6,129,798","110,282","580,939","12,477",
="09:09:40","586,751","14,595,431","568,502","6,128,200","111,122","585,733","12,558",
="09:09:45","590,788","14,617,934","572,831","6,129,122","112,082","590,651","12,641",
="09:09:50","594,574","14,636,503","576,861","6,140,565","113,149","596,892","12,782",
="09:09:55","597,830","14,626,203","580,980","6,156,990","114,150","603,032","12,895",
="09:10:00","601,540","14,649,836","585,185","6,161,571","115,076","611,031","12,998",
="09:10:05","605,859","14,724,426","589,976","6,182,612","115,889","617,829","13,072",
="09:10:10","609,014","14,711,621","593,600","6,192,469","116,686","621,811","13,156",
="09:10:15","613,155","14,690,578","597,881","6,196,824","117,694","629,215","13,242",
="09:10:20","616,579","14,720,235","601,738","6,211,946","118,636","633,208","13,326",
="09:10:25","619,914","14,739,583","605,615","6,225,206","119,514","638,367","13,421",
="09:10:30","623,922","14,672,712","609,757","6,203,310","120,437","643,512","13,505",
="09:10:35","627,331","14,701,949","613,679","6,217,128","121,195","647,859","13,581",
="09:10:40","630,266","14,688,274","617,292","6,201,687","121,991","651,049","13,658",
="09:10:45","633,649","14,731,960","621,296","6,229,204","122,603","654,070","13,716",
="09:10:50","637,495","14,772,333","625,219","6,247,475","123,292","658,459","13,791",
="09:10:55","641,047","14,829,480","629,424","6,285,146","123,951","662,337","13,853",
="09:11:00","643,251","14,881,664","632,063","6,316,267","124,527","665,639","13,913",
="09:11:05","645,533","14,874,570","634,725","6,318,767","125,138","668,640","13,983",
="09:11:10","647,939","14,919,834","637,566","6,316,458","125,806","671,377","14,051",
="09:11:15","651,380","14,912,793","641,171","6,326,950","126,453","674,458","14,113",
="09:11:20","653,889","14,928,359","644,077","6,329,620","127,110","677,984","14,164",
="09:11:25","656,328","14,956,010","647,069","6,341,625","127,664","680,796","14,229",
="09:11:30","658,592","14,917,265","649,703","6,334,707","128,302","684,288","14,300",
="09:11:35","660,739","14,934,208","652,517","6,345,318","128,962","688,244","14,358",
="09:11:40","662,881","14,920,897","655,280","6,355,557","129,609","690,847","14,417",
="09:11:45","666,011","14,911,561","658,455","6,349,769","130,351","694,818","14,491",
="09:11:50","668,186","14,955,079","661,391","6,366,839","130,850","697,060","14,536",
="09:11:55","671,336","14,887,845","664,971","6,363,584","131,521","700,353","14,591",
="09:12:00","673,697","14,915,881","667,851","6,374,271","132,054","702,357","14,641",
="09:12:05","677,286","14,941,845","671,422","6,364,939","132,648","705,708","14,700",
="09:12:10","681,051","14,948,676","675,131","6,376,497","133,245","709,029","14,758",
="09:12:15","684,825","14,948,420","678,664","6,366,013","133,992","712,056","14,828",
="09:12:20","687,846","14,938,074","681,931","6,356,847","134,703","714,839","14,924",
="09:12:25","690,632","14,981,995","684,933","6,390,165","135,283","717,224","14,997",
="09:12:30","693,196","14,989,752","687,540","6,400,502","135,822","720,820","15,079",
="09:12:35","695,676","14,987,754","690,604","6,399,907","136,448","723,758","15,163",
="09:12:40","698,213","15,012,356","693,856","6,416,941","137,159","728,795","15,262",
="09:12:45","702,268","15,047,800","697,608","6,412,589","137,784","732,279","15,333",
="09:12:50","705,510","15,014,125","701,091","6,384,965","138,406","737,995","15,408",
="09:12:55","709,439","15,422,134","704,909","6,626,316","139,061","743,030","15,479",
="09:13:00","712,299","15,438,888","707,929","6,627,217","139,630","745,768","15,527",
="09:13:05","715,512","15,615,055","710,912","6,683,858","140,099","747,633","15,575",
="09:13:10","718,272","15,733,147","713,862","6,729,800","140,801","751,476","15,655",
="09:13:15","721,535","15,799,081","717,648","6,753,566","141,541","757,946","15,761",
="09:13:20","724,896","15,774,179","721,099","6,744,871","142,218","762,784","15,839",
="09:13:25","728,170","15,879,310","724,556","6,759,137","142,742","765,798","15,898",
="09:13:30","731,462","15,923,080","728,106","6,782,862","143,469","769,390","15,999",
="09:13:35","735,942","16,367,260","732,033","7,005,924","144,091","773,648","16,068",
="09:13:40","740,428","16,583,866","736,572","7,087,347","144,796","778,968","16,136",
="09:13:45","743,342","16,666,105","739,756","7,113,125","145,331","781,562","16,192",
="09:13:50","746,011","16,631,962","742,692","7,151,218","145,916","783,992","16,254",
="09:13:55","749,928","16,645,809","745,745","7,171,143","146,477","789,510","16,337",
="09:14:00","753,283","17,005,472","748,706","7,192,968","147,033","794,172","16,417",
="09:14:05","756,652","17,059,834","752,206","7,227,458","147,505","796,726","16,476",
="09:14:10","758,976","17,161,636","754,526","7,254,456","148,039","799,458","16,537",
="09:14:15","762,133","17,200,210","758,231","7,257,534","148,601","801,929","16,593",
="09:14:20","764,618","17,294,856","761,132","7,305,941","149,114","804,636","16,640",
="09:14:25","767,781","17,484,076","764,513","7,379,576","149,754","809,384","16,722",
="09:14:30","770,052","17,554,031","766,941","7,414,476","150,317","813,152","16,775",
="09:14:35","772,336","17,601,027","769,566","7,416,859","150,844","815,521","16,825",
="09:14:40","774,878","17,546,026","772,441","7,396,702","151,340","817,851","16,870",
="09:14:45","777,297","17,533,843","775,245","7,403,751","151,842","820,374","16,912",
="09:14:50","780,514","17,554,694","778,435","7,408,559","152,493","823,749","17,005",
="09:14:55","782,972","17,593,678","781,126","7,428,225","153,207","829,373","17,068",
="09:15:00","785,811","17,588,513","784,115","7,445,965","153,785","832,796","17,121",
="09:15:05","789,558","17,906,731","787,994","7,582,165","154,275","834,624","17,169",
="09:15:10","792,787","17,995,338","791,055","7,566,435","154,883","837,502","17,228",
="09:15:15","796,612","18,250,741","795,045","7,652,525","155,475","840,074","17,281",
="09:15:20","799,019","18,340,996","797,672","7,710,284","156,080","843,846","17,329",
="09:15:25","801,665","18,333,666","800,820","7,682,119","156,578","846,283","17,373",
="09:15:30","804,751","18,405,196","804,232","7,670,972","157,142","849,602","17,429",
="09:15:35","808,163","18,533,947","808,126","7,753,132","157,657","854,266","17,484",
="09:15:40","811,312","18,566,231","811,478","7,750,966","158,230","858,353","17,531",
="09:15:45","815,092","18,590,900","815,574","7,774,279","158,908","865,073","17,587",
="09:15:50","817,492","18,666,232","818,182","7,800,616","159,296","866,810","17,623",
="09:15:55","820,743","18,643,554","821,675","7,799,928","159,814","873,094","17,673",
="09:16:00","823,552","18,681,677","824,677","7,840,346","160,320","876,315","17,722",
="09:16:05","826,405","18,679,083","827,909","7,841,450","160,816","880,858","17,765",
="09:16:10","829,390","18,694,473","831,179","7,851,782","161,291","884,175","17,803",
="09:16:15","831,644","18,707,893","833,839","7,869,131","161,775","887,657","17,849",
="09:16:20","834,027","18,727,253","836,624","7,871,286","162,247","890,970","17,902",
="09:16:25","836,956","18,753,670","839,827","7,872,284","162,617","892,970","17,934",
="09:16:30","839,077","18,788,319","842,398","7,893,322","163,108","894,988","17,983",
